1 _ 1,,,,,,
時間,ストローク,試験力,ストローク,試験力,ストローク,試験力
sec,mm,kN,mm,kN,mm,kN
71.6,1.192812,2.989729,2.385583,6.690637,1.192792,4.026946
71.8,1.196125,2.992439,2.392229,6.698688,1.196125,4.032794
72,1.199458,2.996397,2.398875,6.707517,1.199458,4.037571
72.2,1.202771,2.999242,2.405604,6.719828,1.202812,4.043118
72.4,1.206104,3.002421,2.41225,6.728578,1.206104,4.047894
72.6,1.209458,3.006808,2.418813,6.736454,1.209417,4.052719
72.8,1.212813,3.009899,2.425604,6.750099,1.212792,4.058393
73,1.216146,3.01315,2.432229,6.758467,1.216125,4.064449
73.2,1.219458,3.01652,2.438854,6.76674,1.219458,4.069177
73.4,1.222771,3.019245,2.445604,6.779472,1.222792,4.074264
73.6,1.226083,3.022893,2.45225,6.788596,1.226104,4.079119
73.8,1.229458,3.027058,2.458833,6.796932,1.229417,4.084054
74,1.232813,3.03057,2.465604,6.807661,1.232771,4.089832
74.2,1.236125,3.033463,2.47225,6.8175,1.236125,4.095992
74.4,1.239458,3.036952,2.478875,6.826639,1.239458,4.100688
74.6,1.242792,3.04025,2.485583,6.835262,1.242792,4.105926
74.8,1.246104,3.043183,2.492271,6.847072,1.246125,4.111537
75,1.249458,3.047045,2.498875,6.855663,1.249437,4.11586
75.2,1.252813,3.050335,2.505563,6.864023,1.252771,4.121208
75.4,1.256125,3.053689,2.51225,6.876262,1.256146,4.127423
75.6,1.259479,3.056749,2.518896,6.885242,1.259458,4.132573
75.8,1.262792,3.059816,2.525563,6.893722,1.262792,4.137126
76,1.266083,3.062542,2.532271,6.905571,1.266125,4.142443
76.2,1.269437,3.066063,2.538917,6.914449,1.269437,4.147395
76.4,1.272792,3.070259,2.5455,6.920513,1.272771,4.152584
76.6,1.276125,3.073549,2.552271,6.93477,1.276146,4.158536
76.8,1.279458,3.076482,2.558896,6.942773,1.279479,4.163671
77,1.282792,3.079526,2.5655,6.951626,1.282792,4.168455
