"1 _ 1",,
"時間","試験力","ストローク"
"sec","kN","mm"
"126.2","5.242419","2.102771"
"126.4","5.245519","2.106104"
"126.6","5.250517","2.109458"
"126.8","5.254356","2.112792"
"127","5.257734","2.116125"
"127.2","5.261445","2.119458"
"127.4","5.264767","2.122771"
"127.6","5.267835","2.126104"
"127.8","5.271999","2.129458"
"128","5.276688","2.132813"
"128.2","5.279199","2.136146"
"128.4","5.282911","2.139479"
"128.6","5.286511","2.142792"
"128.8","5.2893","2.146104"
"129","5.293155","2.149458"
"129.2","5.2972","2.152812"
"129.4","5.300816","2.156146"
"129.6","5.303963","2.159479"
"129.8","5.307364","2.162771"
"130","5.31044","2.166083"
"130.2","5.314279","2.169437"
"130.4","5.3188","2.172812"
"130.6","5.322695","2.176125"
"130.8","5.325913","2.179458"
"131","5.329514","2.182792"
"131.2","5.332478","2.186104"
"131.4","5.335864","2.189437"
"131.6","5.340552","2.192812"
"131.8","5.344025","2.196146"
"132","5.347244","2.199458"
"132.2","5.350582","2.202812"
"132.4","5.353419","2.206104"
"132.6","5.356423","2.209417"
"132.8","5.360524","2.212792"
"133","5.36472","2.216146"
"133.2","5.368137","2.219458"
"133.4","5.371245","2.222792"
"133.6","5.374622","2.226104"
"133.8","5.377547","2.229417"
"134","5.381338","2.232792"
"134.2","5.385613","2.236125"
"134.4","5.388919","2.239458"
"134.6","5.392241","2.242792"
"134.8","5.395555","2.246125"
"135","5.398059","2.249438"
"135.2","5.401675","2.252771"
"135.4","5.40626","2.256146"
"135.6","5.409869","2.259479"
"135.8","5.413","2.262812"
"136","5.416107","2.266146"
"136.2","5.41954","2.269438"
"136.4","5.422521","2.272771"
"136.6","5.42647","2.276125"
"136.8","5.430102","2.279479"
"137","5.433241","2.282792"
"137.2","5.436579","2.286125"
"137.4","5.439806","2.289438"
"137.6","5.44227","2.29275"
"137.8","5.446315","2.296125"
"138","5.45036","2.299479"
"138.2","5.453578","2.302792"
"138.4","5.456702","2.306125"
"138.6","5.459968","2.309438"
"138.8","5.463123","2.312771"
"139","5.467065","2.316125"
"139.2","5.470681","2.319479"
"139.4","5.473693","2.322792"
"139.6","5.477198","2.326125"
"139.8","5.480162","2.329458"
"140","5.482825","2.33275"
"140.2","5.486496","2.336104"
"140.4","5.490851","2.339479"
"140.6","5.494293","2.342813"
"140.8","5.497035","2.346125"
"141","5.500817","2.349458"
"141.2","5.503408","2.352771"
"141.4","5.506444","2.356083"
"141.6","5.510704","2.359458"
"141.8","5.514058","2.362792"
"142","5.517014","2.366125"
"142.2","5.520654","2.369479"
"142.4","5.523189","2.372771"
"142.6","5.526002","2.376083"
"142.8","5.529976","2.379458"
"143","5.533926","2.382792"
"143.2","5.536731","2.386125"
"143.4","5.539807","2.389458"
"143.6","5.542779","2.392792"
"143.8","5.545791","2.396104"
"144","5.549041","2.399458"
"144.2","5.552927","2.402812"
"144.4","5.556139","2.406146"
"144.6","5.559444","2.409479"
"144.8","5.561956","2.412792"
"145","5.564888","2.416104"
"145.2","5.568155","2.419437"
"145.4","5.572113","2.422792"
"145.6","5.575418","2.426125"
"145.8","5.578184","2.429458"
"146","5.581339","2.432792"
"146.2","5.58432","2.436104"
"146.4","5.587427","2.439437"
"146.6","5.591568","2.442812"
"146.8","5.594587","2.446146"
"147","5.597496","2.449458"
"147.2","5.600754","2.452812"
"147.4","5.603075","2.456104"
"147.6","5.605793","2.459417"
"147.8","5.609647","2.462792"
"148","5.613875","2.466125"
"148.2","5.616069","2.469458"
"148.4","5.619335","2.472792"
"148.6","5.62214","2.476104"
"148.8","5.624437","2.479417"
"149","5.628356","2.482792"
"149.2","5.632059","2.486146"
"149.4","5.635127","2.489458"
"149.6","5.638369","2.492792"
"149.8","5.640952","2.496125"
"150","5.643646","2.499438"
"150.2","5.646626","2.502771"
"150.4","5.650481","2.506146"
"150.6","5.653588","2.509479"
"150.8","5.656608","2.512792"
"151","5.659922","2.516125"
"151.2","5.662282","2.519438"
"151.4","5.664762","2.522771"
"151.6","5.668577","2.526125"
"151.8","5.672208","2.529479"
"152","5.674958","2.532812"
"152.2","5.677549","2.536146"
"152.4","5.680156","2.539438"
"152.6","5.682572","2.54275"
"152.8","5.686442","2.546125"
"153","5.690487","2.549479"
"153.2","5.692697","2.552792"
"153.4","5.695685","2.556125"
"153.6","5.69884","2.559438"
"153.8","5.701192","2.562771"
"154","5.704355","2.566125"
"154.2","5.708218","2.569458"
"154.4","5.710801","2.572813"
"154.6","5.713765","2.576146"
"154.8","5.716626","2.579458"
"155","5.718748","2.58275"
"155.2","5.721942","2.586104"
"155.4","5.725964","2.589458"
"155.6","5.728968","2.592792"
"155.8","5.731837","2.596146"
"156","5.734468","2.599458"
"156.2","5.737042","2.602771"
"156.4","5.739728","2.606104"
"156.6","5.743734","2.609458"
"156.8","5.747032","2.612813"
"157","5.749456","2.616125"
"157.2","5.752381","2.619458"
"157.4","5.755226","2.622771"
"157.6","5.757801","2.626104"
"157.8","5.761456","2.629458"
"158","5.764977","2.632813"
"158.2","5.767369","2.636125"
"158.4","5.770286","2.639479"
"158.6","5.772821","2.642792"
"158.8","5.774745","2.646104"
"159","5.778178","2.649458"
"159.2","5.78146","2.652812"
"159.4","5.784321","2.656125"
"159.6","5.787055","2.659479"
"159.8","5.789979","2.662792"
"160","5.792085","2.666083"
"160.2","5.794716","2.669437"
"160.4","5.79892","2.672792"
"160.6","5.80171","2.676125"
"160.8","5.804189","2.679437"
"161","5.807614","2.682792"
"161.2","5.810269","2.686104"
"161.4","5.813344","2.689437"
"161.6","5.81673","2.692792"
"161.8","5.819607","2.696146"
"162","5.822372","2.699458"
"162.2","5.825265","2.702812"
"162.4","5.826982","2.706125"
"162.6","5.829485","2.709417"
"162.8","5.833117","2.712792"
"163","5.836678","2.716146"
"163.2","5.838672","2.719458"
"163.4","5.841208","2.722792"
