"1 _ 1",,
"時間","試験力","ストローク"
"sec","kN","mm"
"144.6","9.677935","4.818896"
"144.8","9.68612","4.825583"
"145","9.691875","4.832208"
"145.2","9.697445","4.838917"
"145.4","9.706823","4.845583"
"145.6","9.711909","4.852229"
"145.8","9.716503","4.858875"
"146","9.726707","4.865604"
"146.2","9.731833","4.872229"
"146.4","9.735338","4.878833"
"146.6","9.746019","4.885583"
"146.8","9.750994","4.892229"
"147","9.75666","4.898875"
"147.2","9.765871","4.905604"
"147.4","9.772165","4.912271"
"147.6","9.775352","4.918833"
"147.8","9.784889","4.925604"
"148","9.790547","4.93225"
"148.2","9.795897","4.938854"
"148.4","9.804337","4.945604"
"148.6","9.810345","4.95225"
"148.8","9.815574","4.958854"
"149","9.822862","4.965625"
"149.2","9.829633","4.97225"
"149.4","9.834814","4.978875"
"149.6","9.841005","4.985583"
"149.8","9.848102","4.99225"
"150","9.853498","4.998875"
"150.2","9.859133","5.005562"
"150.4","9.867374","5.01225"
"150.6","9.872866","5.018896"
"150.8","9.878103","5.025562"
"151","9.886885","5.032271"
"151.2","9.892376","5.038896"
"151.4","9.895515","5.0455"
"151.6","9.905855","5.05225"
"151.8","9.910528","5.058896"
"152","9.915225","5.0655"
"152.2","9.924905","5.07225"
"152.4","9.930698","5.078917"
"152.6","9.934592","5.085521"
"152.8","9.94463","5.092292"
"153","9.949176","5.098917"
"153.2","9.954309","5.105521"
"153.4","9.961438","5.11225"
"153.6","9.967978","5.118917"
"153.8","9.971698","5.1255"
"154","9.979701","5.13225"
"154.2","9.986289","5.138896"
"154.4","9.99151","5.145521"
"154.6","9.997646","5.15225"
"154.8","10.00531","5.158937"
"155","10.01019","5.165542"
"155.2","10.01452","5.172208"
"155.4","10.02444","5.178916"
"155.6","10.02931","5.185563"
"155.8","10.0341","5.192208"
"156","10.04326","5.198916"
"156.2","10.04968","5.205563"
"156.4","10.05277","5.212208"
"156.6","10.06275","5.218958"
"156.8","10.06715","5.225604"
"157","10.07102","5.232187"
"157.2","10.07981","5.238958"
"157.4","10.08516","5.245604"
"157.6","10.08817","5.252167"
"157.8","10.09749","5.258937"
"158","10.10265","5.265584"
"158.2","10.10788","5.272187"
"158.4","10.11496","5.278937"
"158.6","10.12077","5.285583"
"158.8","10.12545","5.292187"
"159","10.13239","5.298917"
"159.2","10.13908","5.305562"
"159.4","10.14441","5.312188"
"159.6","10.1512","5.318896"
"159.8","10.15882","5.325562"
"160","10.16344","5.332208"
"160.2","10.16915","5.338896"
"160.4","10.17776","5.345604"
"160.6","10.18207","5.352229"
"160.8","10.186","5.358896"
"161","10.19452","5.365583"
"161.2","10.19948","5.372229"
"161.4","10.20284","5.378854"
"161.6","10.21262","5.385583"
"161.8","10.21733","5.392229"
"162","10.22194","5.398854"
"162.2","10.23088","5.405604"
"162.4","10.23605","5.412271"
"162.6","10.23949","5.418833"
"162.8","10.24878","5.425604"
"163","10.25329","5.432229"
"163.2","10.25866","5.438833"
"163.4","10.26685","5.445604"
"163.6","10.27253","5.452271"
"163.8","10.27599","5.458854"
"164","10.28326","5.465604"
"164.2","10.28941","5.47225"
"164.4","10.29415","5.478896"
"164.6","10.2991","5.485583"
"164.8","10.30712","5.492271"
"165","10.3114","5.498875"
"165.2","10.31621","5.505562"
"165.4","10.32443","5.51225"
"165.6","10.32992","5.518917"
"165.8","10.33409","5.525562"
"166","10.34241","5.532271"
"166.2","10.34727","5.538917"
"166.4","10.34981","5.545521"
"166.6","10.35884","5.55225"
"166.8","10.36368","5.558917"
"167","10.36796","5.5655"
"167.2","10.37628","5.57225"
"167.4","10.3815","5.578917"
"167.6","10.38508","5.585521"
"167.8","10.39426","5.592292"
"168","10.39842","5.598917"
"168.2","10.40324","5.605521"
"168.4","10.40973","5.61225"
"168.6","10.41625","5.618917"
"168.8","10.41908","5.6255"
"169","10.42669","5.63225"
"169.2","10.43279","5.638896"
"169.4","10.43744","5.645542"
"169.6","10.44362","5.652271"
"169.8","10.44986","5.658937"
"170","10.4553","5.665542"
"170.2","10.4591","5.672229"
"170.4","10.46747","5.678896"
"170.6","10.47256","5.685542"
"170.8","10.47643","5.692208"
"171","10.48517","5.698916"
"171.2","10.48959","5.705563"
"171.4","10.4936","5.712208"
"171.6","10.50185","5.718937"
"171.8","10.50564","5.725604"
"172","10.50982","5.732208"
"172.2","10.51791","5.738937"
"172.4","10.52217","5.745583"
"172.6","10.52507","5.752167"
"172.8","10.53455","5.758937"
"173","10.53843","5.765583"
"173.2","10.54296","5.772187"
"173.4","10.5507","5.778937"
"173.6","10.55578","5.785604"
"173.8","10.55968","5.792167"
"174","10.56571","5.798917"
"174.2","10.57208","5.805562"
"174.4","10.57653","5.812188"
"174.6","10.58199","5.818917"
"174.8","10.58918","5.825583"
"175","10.59396","5.832188"
